,content,score,source
136,所谓天才，只但是是把别人喝咖啡的功夫都用在工作上了。,1,NO.53151  
137,我吃的是草，挤出来的是牛奶。,1,NO.53148  
138,旧朋云散尽，余亦等轻尘。,1,NO.53145  
139,飞蛾死在灯上。,1,NO.53144  
141,让别人过得舒服些，自己没有幸福不要紧，看见别人得到幸福生活也是舒服的。,1,NO.53142  
142,我哪里是天才，我是把别人喝咖啡的时间都用在工作和学习上的。,1,NO.53141  
143,小的时候，不把他当人，大了以后也做不了人。,1,NO.53140  
144,事实是毫无情面的东西，它能够将空言打得粉碎。,1,NO.53139  
145,没有艺术手段，没有锋利的文笔，没有幽默，没有图景，就没有小品。,1,NO.53138  
146,什么是路？就是说从没路的地方蹂躏出来的，从只有荆棘的处所开拓出不的。,1,NO.53137  
147,从喷泉里出来的都是水，从血管里出来的都是血。,1,NO.53136  
148,人何必增添末路的人的苦恼。,1,NO.53135  
149,创造这中国历史上未曾有过的第三样时代，则是现在的青年的使命。,1,NO.53134  
151,瞎奴！此株株是文章，节节是忠肠也。,1,NO.53132  
153,那是孤独的雪，是死掉的雨，是雨的精魂。,1,NO.53130  
155,说话到真人厌恶，比毫无动静来，还是一种幸福，——《坟题记》一九二六年。,1,NO.53128  
158,作者写出创作来，对于其中的事情，虽然不必亲历过，最好是经历过。,1,NO.53125  
159,悲剧就是对美的毁灭，越美的东西被毁，其悲剧性就越强。,1,NO.53124  
160,奴才总不过是寻人诉苦，只要这样，也只能这样。,1,NO.53123  
162,没有冲破一切传统思想和手法的闯将，中国是不会有真正的新文艺的。,1,NO.53121  
163,我的确时时解剖别人，然而更多的是更无情的解剖自己。,1,NO.53120  
168,绝望正与希望相同，大恨恰恰是大爱的起点。,1,NO.53115  
169,无所谓‘绅士’，也没有‘流言。,1,NO.53114  
170,中国人越是懦夫越会欺负比自己更加弱小的人群。,1,NO.53113  
171,世上本来没有路走的人多了才有了路。,1,NO.53112  
172,人生最大的痛苦莫过于梦醒时发现无路可走。,1,NO.53111  
173,有一游魂，化为长蛇，不以啮人，自啮其身。,1,NO.53110  
174,人最苦的是梦醒了却无路可走。,1,NO.53109  
175,我的确时时解剖别人，然而更多的是更无情地解剖自己。,1,NO.53108  
176,能做事的做事，能发声的发声，有一分热，发一分光。,1,NO.53107  
177,我们的第一要著，是在改变他们的精神。,1,NO.53106  
178,不能只为了爱——盲目的爱，——而将别的人生的要义全盘疏忽了。,1,NO.53105  
179,我一径逃走，尽力地走，直到逃出梦境，躺在自己的床上。,1,NO.53104  
180,要么在沉默中爆发，要么在沉默中灭亡。,1,NO.53103  
181,时刻，就象海棉里的水，只要愿挤，总还是有的。,1,NO.53102  
182,人类是一种使思想开花结果的植物。,1,NO.53101  
183,以过去和现在的铁铸一般的事实来测将来，洞若观火。,1,NO.53100  
184,自己背着因袭的重担，肩住黑暗的闸门，放他们到光明的地方去。,1,NO.53098  
185,贪安稳就没有自一由，要自一由就要历些危险，只有这两条路。,1,NO.53097  
186,即使慢，驰而不息，纵令落后，纵令失败，但必须能够到达他所向往的目标。,1,NO.53095  
187,专读书也有弊病，因此务必和现实社会接触，使所读的书活起来。,1,NO.53093  
188,文学史上，我没有见过用阴谋除去了文学上的敌手，便成为文豪的人。,1,NO.53091  
190,惟有民魂是值得宝贵的，唯一他表现出来，中国才有真进步。,1,NO.53086  
191,人类总不会寂寞，由于性命是提高的，是生成的。,1,NO.53084  
192,抉心自食，欲知本味，创痛酷烈，本味何能知。,1,NO.53081  
194,这是的确的，实地经验总比看、听、空想确凿。,1,NO.53079  
195,扶着叛徒的尸体哭泣的人，才是真脊梁。,1,NO.53077  
196,取下假面，真诚地，深入地，大胆地看取人生。,1,NO.53074  
197,横眉冷对千夫指，俯首甘为孺子牛，躲进小楼成一统，管他冬夏与春秋。,1,NO.53072  
198,辱骂与恐吓不是战斗。,1,NO.53071  
199,时间就是一性一命，无端的空耗别人的时间，其实是无异于谋财害命。,1,NO.53068  
201,我好像一只牛，吃的是草，挤出来的是奶、血。,1,NO.53065  
203,梦里依稀慈母泪，城头变幻大王旗。,1,NO.53062  
204,英雄的血永远是无味国土上人生的盐。,1,NO.53060  
205,中国有许多事情都只剩下一个空名和假样，就为了不认真的缘故。,1,NO.53059  
206,我心里想着两个人，一个是他，另一个还是他。,1,NO.53058  
